Metric,Value
design__instance__count,77505
design__instance__area,1370970
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 2520.0 740.0
design__core__bbox,5.52 10.88 2514.36 728.96
design__io,706
design__die__area,1864800
design__core__area,1801550
design__instance__count__stdcell,77503
design__instance__area__stdcell,443952
design__instance__count__macros,2
design__instance__area__macros,927015
design__instance__utilization,0.760994
design__instance__utilization__stdcell,0.507645
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1668680
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3
antenna__violating__nets,63
antenna__violating__pins,67
route__antenna_violation__count,63
route__net,28589
route__net__special,2
route__drc_errors__iter:1,64151
route__wirelength__iter:1,1965702
route__drc_errors__iter:2,37663
route__wirelength__iter:2,1955049
route__drc_errors__iter:3,36431
route__wirelength__iter:3,1950895
route__drc_errors__iter:4,6894
route__wirelength__iter:4,1947046
route__drc_errors__iter:5,1601
route__wirelength__iter:5,1946753
route__drc_errors__iter:6,717
route__wirelength__iter:6,1946771
route__drc_errors__iter:7,375
route__wirelength__iter:7,1946594
route__drc_errors__iter:8,271
route__wirelength__iter:8,1946587
route__drc_errors__iter:9,196
route__wirelength__iter:9,1946649
route__drc_errors__iter:10,91
route__wirelength__iter:10,1946530
route__drc_errors__iter:11,0
route__wirelength__iter:11,1946547
route__drc_errors,0
route__wirelength,1946547
route__vias,308914
route__vias__singlecut,308914
route__vias__multicut,0
design__disconnected_pin__count,20
design__critical_disconnected_pin__count,0
route__wirelength__max,1704.36
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00034203194081783295
power__switching__total,0.00023113118368200958
power__leakage__total,1.425270738764084e-06
power__total,0.0005745884263888001
clock__skew__worst_hold__corner:nom_tt_025C_1v80,3.352619
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.455935
timing__hold__ws__corner:nom_tt_025C_1v80,0.241713
timing__setup__ws__corner:nom_tt_025C_1v80,93.400955
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.241713
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,93.400955
