OpenROAD 4174c3ad802d2ac1d04d387d2c4b883903f6647e 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 265632, net ANTENNA_core.RAM256_A0\[6\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 271067, net ANTENNA_core.RAM128_Di0\[19\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 540403, net ANTENNA_core.RAM128_Di0\[2\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 540581, net ANTENNA_core.RAM128_Di0\[1\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 540582, net ANTENNA_core.RAM128_Di0\[2\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 540593, net ANTENNA_core.RAM128_Di0\[2\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 540596, net ANTENNA_core.RAM128_Di0\[2\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 540643, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 542555, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 543141, net ANTENNA_core.RAM128_Di0\[6\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 546418, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 546524, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 546535, net ANTENNA_core.RAM128_Di0\[19\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 552402, net ANTENNA_core.RAM128_Di0\[19\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 552453, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 552468, net ANTENNA_core.RAM128_Di0\[19\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 552821, net ANTENNA_core.RAM128_Di0\[19\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 553126, net ANTENNA_core.RAM128_Di0\[29\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 553139, net ANTENNA_core.RAM128_Di0\[30\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 595390, net ANTENNA_core.RAM128_Di0\[4\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 595431, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 595437, net ANTENNA_core.RAM128_Di0\[17\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 599337, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 602001, net ANTENNA_core.RAM128_Di0\[1\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 623348, net ANTENNA_core.RAM128_Di0\[10\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 623355, net ANTENNA_core.RAM128_Di0\[10\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 623373, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 624610, net ANTENNA_core.RAM128_Di0\[4\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 629810, net ANTENNA_core.RAM128_Di0\[0\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 631167, net ANTENNA_core.RAM128_Di0\[4\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 631343, net ANTENNA_core.RAM128_Di0\[2\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 631690, net ANTENNA_core.RAM128_Di0\[22\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 632492, net ANTENNA_core.RAM128_Di0\[0\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 638680, net ANTENNA_core.RAM128_Di0\[31\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 638734, net ANTENNA_core.RAM128_Di0\[13\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 756747, net ANTENNA_core.RAM256_Di0\[30\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 757075, net ANTENNA_core.RAM256_Di0\[30\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 757122, net ANTENNA_core.RAM256_Di0\[22\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 939610, net ANTENNA_core.RAM128_Di0\[2\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 939635, net ANTENNA_core.RAM128_Di0\[10\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 939658, net ANTENNA_core.RAM128_Di0\[19\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 940118, net ANTENNA_core.RAM128_Di0\[26\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 940191, net ANTENNA_core.RAM128_Di0\[2\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 976109, net ANTENNA_core.RAM256_Di0\[31\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 976165, net ANTENNA_core.RAM256_Di0\[18\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 976166, net ANTENNA_core.RAM256_Di0\[22\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1030841, net ANTENNA_core.RAM256_Di0\[9\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1037528, net ANTENNA_core.RAM256_Di0\[31\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1044080, net ANTENNA_core.RAM256_Di0\[19\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1044081, net ANTENNA_core.RAM256_Di0\[20\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1044082, net ANTENNA_core.RAM256_Di0\[21\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1056770, net ANTENNA_core.RAM256_Di0\[27\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1057021, net ANTENNA_core.RAM256_Di0\[6\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1057024, net ANTENNA_core.RAM256_Di0\[6\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1057028, net ANTENNA_core.RAM256_Di0\[6\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1088795, net ANTENNA_core.RAM256_Di0\[23\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1180544, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1233450, net ANTENNA_core.RAM256_A0\[6\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1233528, net ANTENNA_core.RAM256_WE0\[3\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1234163, net ANTENNA_core.RAM256_Di0\[22\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1235228, net ANTENNA_core.RAM128_Di0\[0\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1242072, net ANTENNA_core.RAM128_Di0\[22\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1292719, net ANTENNA_core.RAM128_Di0\[27\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1292722, net ANTENNA_core.RAM128_Di0\[26\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1309864, net ANTENNA_core.RAM256_Di0\[9\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340089, net ANTENNA_core.RAM128_Di0\[29\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340090, net ANTENNA_core.RAM128_Di0\[30\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340162, net ANTENNA_core.RAM128_Di0\[29\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340309, net ANTENNA_core.RAM128_Di0\[23\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340310, net ANTENNA_core.RAM128_Di0\[24\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340311, net ANTENNA_core.RAM128_Di0\[26\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340340, net ANTENNA_core.RAM128_Di0\[29\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340367, net ANTENNA_core.RAM128_Di0\[27\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1340638, net ANTENNA_core.RAM128_Di0\[23\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1374550, net ANTENNA_core.RAM128_Di0\[17\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1374561, net ANTENNA_core.RAM128_Di0\[13\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1375539, net ANTENNA_core.RAM128_Di0\[10\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1375543, net ANTENNA_core.RAM128_Di0\[10\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1377123, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1377126, net ANTENNA_core.RAM128_Di0\[14\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1377127, net ANTENNA_core.RAM128_Di0\[15\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1377128, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1378628, net ANTENNA_core.RAM128_Di0\[31\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1381332, net ANTENNA_core.RAM128_Di0\[0\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1381333, net ANTENNA_core.RAM128_Di0\[0\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1386209, net ANTENNA_core.RAM128_Di0\[26\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1386928, net ANTENNA_core.RAM128_Di0\[16\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1386934, net ANTENNA_core.RAM128_Di0\[13\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1387403, net ANTENNA_core.RAM128_Di0\[27\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1387404, net ANTENNA_core.RAM128_Di0\[26\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1387405, net ANTENNA_core.RAM128_Di0\[26\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1387406, net ANTENNA_core.RAM128_Di0\[26\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1387920, net ANTENNA_core.RAM128_Di0\[10\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1387924, net ANTENNA_core.RAM128_Di0\[5\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1507942, net ANTENNA_core.RAM256_Di0\[9\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1516695, net ANTENNA_core.RAM128_Di0\[31\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1517113, net ANTENNA_core.RAM256_A0\[6\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1642283, net ANTENNA_core.RAM128_A0\[6\] not found.
[WARNING STA-0172] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1665745, instance ANTENNA_core.RAM256_Di0\[18\] not found.
[WARNING STA-0174] /home/hosni/caravel_mgmt_soc_litex/openlane/mgmt_core_wrapper/runs/RUN_2022.10.15_19.50.29/results/routing/mca/process_corner_nom/mgmt_core_wrapper.spef line 1665750, net ANTENNA_core.RAM256_Di0\[18\] not found.
